sample_id,dataset,dataset_name,object_id,source_light_id,target_light_id,source_object_rgb_r,source_object_rgb_g,source_object_rgb_b,target_object_rgb_r,target_object_rgb_g,target_object_rgb_b,source_patch_r_r,source_patch_r_g,source_patch_r_b,source_patch_g_r,source_patch_g_g,source_patch_g_b,source_patch_b_r,source_patch_b_g,source_patch_b_b,target_patch_r_r,target_patch_r_g,target_patch_r_b,target_patch_g_r,target_patch_g_g,target_patch_g_b,target_patch_b_r,target_patch_b_g,target_patch_b_b
real_world_dataset_2__obj189__l0__to__l3,real,real_world_dataset_2,obj189,l0,l3,1.0,101.0,144.0,0.0,114.0,144.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj190__l0__to__l3,real,real_world_dataset_2,obj190,l0,l3,45.0,83.0,122.0,70.0,94.0,114.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj191__l0__to__l3,real,real_world_dataset_2,obj191,l0,l3,116.0,71.0,120.0,140.0,87.0,116.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj192__l0__to__l3,real,real_world_dataset_2,obj192,l0,l3,0.0,96.0,138.0,0.0,108.0,136.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj193__l0__to__l3,real,real_world_dataset_2,obj193,l0,l3,72.0,122.0,155.0,99.0,127.0,143.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj194__l0__to__l3,real,real_world_dataset_2,obj194,l0,l3,146.0,97.0,146.0,161.0,107.0,135.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj195__l0__to__l3,real,real_world_dataset_2,obj195,l0,l3,1.0,107.0,139.0,1.0,106.0,124.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj196__l0__to__l3,real,real_world_dataset_2,obj196,l0,l3,107.0,152.0,180.0,126.0,149.0,161.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj197__l0__to__l3,real,real_world_dataset_2,obj197,l0,l3,173.0,124.0,155.0,181.0,128.0,140.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj198__l0__to__l3,real,real_world_dataset_2,obj198,l0,l3,28.0,52.0,82.0,25.0,52.0,77.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj199__l0__to__l3,real,real_world_dataset_2,obj199,l0,l3,29.0,48.0,77.0,28.0,50.0,72.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj200__l0__to__l3,real,real_world_dataset_2,obj200,l0,l3,37.0,41.0,82.0,36.0,40.0,77.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj201__l0__to__l3,real,real_world_dataset_2,obj201,l0,l3,6.0,77.0,135.0,3.0,82.0,129.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj202__l0__to__l3,real,real_world_dataset_2,obj202,l0,l3,14.0,70.0,127.0,14.0,77.0,120.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj203__l0__to__l3,real,real_world_dataset_2,obj203,l0,l3,48.0,47.0,103.0,57.0,51.0,94.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj204__l0__to__l3,real,real_world_dataset_2,obj204,l0,l3,1.0,93.0,162.0,0.0,102.0,154.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj205__l0__to__l3,real,real_world_dataset_2,obj205,l0,l3,1.0,86.0,159.0,0.0,99.0,155.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj206__l0__to__l3,real,real_world_dataset_2,obj206,l0,l3,66.0,57.0,121.0,90.0,71.0,114.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj207__l0__to__l3,real,real_world_dataset_2,obj207,l0,l3,1.0,101.0,158.0,0.0,118.0,157.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj208__l0__to__l3,real,real_world_dataset_2,obj208,l0,l3,9.0,82.0,134.0,35.0,99.0,132.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj209__l0__to__l3,real,real_world_dataset_2,obj209,l0,l3,89.0,68.0,136.0,116.0,87.0,132.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj210__l0__to__l3,real,real_world_dataset_2,obj210,l0,l3,0.0,93.0,151.0,0.0,112.0,154.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj211__l0__to__l3,real,real_world_dataset_2,obj211,l0,l3,16.0,116.0,172.0,44.0,128.0,164.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj212__l0__to__l3,real,real_world_dataset_2,obj212,l0,l3,108.0,89.0,145.0,129.0,100.0,135.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj213__l0__to__l3,real,real_world_dataset_2,obj213,l0,l3,1.0,99.0,130.0,1.0,104.0,123.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj214__l0__to__l3,real,real_world_dataset_2,obj214,l0,l3,81.0,141.0,167.0,106.0,140.0,150.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj215__l0__to__l3,real,real_world_dataset_2,obj215,l0,l3,150.0,126.0,158.0,161.0,129.0,142.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,70.0,59.0,111.0,154.0,59.0,53.0,137.0,131.0,57.0
real_world_dataset_2__obj000__l0__to__l4,real,real_world_dataset_2,obj000,l0,l4,28.0,35.0,37.0,50.0,47.0,38.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj001__l0__to__l4,real,real_world_dataset_2,obj001,l0,l4,36.0,29.0,35.0,55.0,39.0,32.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj002__l0__to__l4,real,real_world_dataset_2,obj002,l0,l4,41.0,30.0,38.0,63.0,39.0,34.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj003__l0__to__l4,real,real_world_dataset_2,obj003,l0,l4,31.0,47.0,40.0,49.0,54.0,34.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj004__l0__to__l4,real,real_world_dataset_2,obj004,l0,l4,51.0,36.0,36.0,73.0,45.0,32.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj005__l0__to__l4,real,real_world_dataset_2,obj005,l0,l4,76.0,34.0,37.0,105.0,46.0,34.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj006__l0__to__l4,real,real_world_dataset_2,obj006,l0,l4,51.0,81.0,47.0,76.0,83.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj007__l0__to__l4,real,real_world_dataset_2,obj007,l0,l4,97.0,59.0,40.0,123.0,67.0,32.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj008__l0__to__l4,real,real_world_dataset_2,obj008,l0,l4,119.0,41.0,35.0,149.0,56.0,31.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj009__l0__to__l4,real,real_world_dataset_2,obj009,l0,l4,70.0,98.0,53.0,98.0,97.0,41.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj010__l0__to__l4,real,real_world_dataset_2,obj010,l0,l4,122.0,75.0,49.0,145.0,82.0,37.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj011__l0__to__l4,real,real_world_dataset_2,obj011,l0,l4,167.0,66.0,54.0,190.0,81.0,41.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj012__l0__to__l4,real,real_world_dataset_2,obj012,l0,l4,106.0,126.0,77.0,130.0,121.0,55.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj013__l0__to__l4,real,real_world_dataset_2,obj013,l0,l4,161.0,110.0,76.0,181.0,113.0,54.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj014__l0__to__l4,real,real_world_dataset_2,obj014,l0,l4,172.0,78.0,67.0,192.0,86.0,48.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj015__l0__to__l4,real,real_world_dataset_2,obj015,l0,l4,130.0,154.0,102.0,151.0,145.0,73.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj016__l0__to__l4,real,real_world_dataset_2,obj016,l0,l4,177.0,140.0,97.0,193.0,137.0,69.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj017__l0__to__l4,real,real_world_dataset_2,obj017,l0,l4,174.0,122.0,101.0,191.0,119.0,69.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj018__l0__to__l4,real,real_world_dataset_2,obj018,l0,l4,28.0,38.0,40.0,49.0,50.0,41.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj019__l0__to__l4,real,real_world_dataset_2,obj019,l0,l4,32.0,30.0,35.0,56.0,43.0,37.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj020__l0__to__l4,real,real_world_dataset_2,obj020,l0,l4,40.0,29.0,38.0,65.0,43.0,38.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj021__l0__to__l4,real,real_world_dataset_2,obj021,l0,l4,28.0,52.0,41.0,49.0,64.0,43.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj022__l0__to__l4,real,real_world_dataset_2,obj022,l0,l4,52.0,35.0,35.0,78.0,48.0,36.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj023__l0__to__l4,real,real_world_dataset_2,obj023,l0,l4,80.0,33.0,39.0,110.0,48.0,38.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj024__l0__to__l4,real,real_world_dataset_2,obj024,l0,l4,44.0,73.0,52.0,70.0,80.0,45.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj025__l0__to__l4,real,real_world_dataset_2,obj025,l0,l4,90.0,57.0,48.0,118.0,68.0,41.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj026__l0__to__l4,real,real_world_dataset_2,obj026,l0,l4,121.0,42.0,46.0,154.0,58.0,39.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj027__l0__to__l4,real,real_world_dataset_2,obj027,l0,l4,69.0,97.0,71.0,99.0,97.0,55.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj028__l0__to__l4,real,real_world_dataset_2,obj028,l0,l4,122.0,78.0,65.0,148.0,87.0,50.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj029__l0__to__l4,real,real_world_dataset_2,obj029,l0,l4,165.0,70.0,66.0,189.0,84.0,51.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj030__l0__to__l4,real,real_world_dataset_2,obj030,l0,l4,98.0,127.0,99.0,124.0,121.0,72.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj031__l0__to__l4,real,real_world_dataset_2,obj031,l0,l4,158.0,114.0,93.0,179.0,117.0,68.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj032__l0__to__l4,real,real_world_dataset_2,obj032,l0,l4,175.0,83.0,84.0,195.0,93.0,62.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj033__l0__to__l4,real,real_world_dataset_2,obj033,l0,l4,121.0,154.0,124.0,146.0,146.0,91.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj034__l0__to__l4,real,real_world_dataset_2,obj034,l0,l4,178.0,146.0,120.0,196.0,144.0,87.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj035__l0__to__l4,real,real_world_dataset_2,obj035,l0,l4,176.0,120.0,117.0,193.0,119.0,82.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj036__l0__to__l4,real,real_world_dataset_2,obj036,l0,l4,28.0,36.0,39.0,47.0,48.0,42.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj037__l0__to__l4,real,real_world_dataset_2,obj037,l0,l4,40.0,33.0,39.0,67.0,49.0,43.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj038__l0__to__l4,real,real_world_dataset_2,obj038,l0,l4,42.0,30.0,39.0,68.0,44.0,40.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj039__l0__to__l4,real,real_world_dataset_2,obj039,l0,l4,21.0,50.0,46.0,43.0,63.0,47.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj040__l0__to__l4,real,real_world_dataset_2,obj040,l0,l4,51.0,34.0,40.0,76.0,46.0,39.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj041__l0__to__l4,real,real_world_dataset_2,obj041,l0,l4,78.0,32.0,45.0,110.0,47.0,44.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj042__l0__to__l4,real,real_world_dataset_2,obj042,l0,l4,32.0,66.0,64.0,58.0,72.0,53.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj043__l0__to__l4,real,real_world_dataset_2,obj043,l0,l4,85.0,54.0,60.0,113.0,66.0,51.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj044__l0__to__l4,real,real_world_dataset_2,obj044,l0,l4,125.0,44.0,57.0,155.0,60.0,47.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj045__l0__to__l4,real,real_world_dataset_2,obj045,l0,l4,57.0,99.0,91.0,90.0,98.0,69.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj046__l0__to__l4,real,real_world_dataset_2,obj046,l0,l4,115.0,77.0,85.0,140.0,82.0,64.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj047__l0__to__l4,real,real_world_dataset_2,obj047,l0,l4,161.0,67.0,86.0,186.0,81.0,63.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj048__l0__to__l4,real,real_world_dataset_2,obj048,l0,l4,87.0,124.0,116.0,115.0,118.0,82.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj049__l0__to__l4,real,real_world_dataset_2,obj049,l0,l4,150.0,116.0,114.0,172.0,120.0,82.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj050__l0__to__l4,real,real_world_dataset_2,obj050,l0,l4,177.0,83.0,100.0,197.0,92.0,71.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj051__l0__to__l4,real,real_world_dataset_2,obj051,l0,l4,112.0,152.0,141.0,136.0,143.0,102.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj052__l0__to__l4,real,real_world_dataset_2,obj052,l0,l4,172.0,145.0,138.0,190.0,142.0,101.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj053__l0__to__l4,real,real_world_dataset_2,obj053,l0,l4,177.0,119.0,130.0,194.0,119.0,92.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj054__l0__to__l4,real,real_world_dataset_2,obj054,l0,l4,28.0,36.0,45.0,47.0,47.0,45.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj055__l0__to__l4,real,real_world_dataset_2,obj055,l0,l4,34.0,31.0,42.0,56.0,44.0,44.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj056__l0__to__l4,real,real_world_dataset_2,obj056,l0,l4,46.0,28.0,41.0,71.0,42.0,44.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj057__l0__to__l4,real,real_world_dataset_2,obj057,l0,l4,24.0,41.0,51.0,40.0,52.0,49.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj058__l0__to__l4,real,real_world_dataset_2,obj058,l0,l4,50.0,35.0,57.0,76.0,48.0,53.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj059__l0__to__l4,real,real_world_dataset_2,obj059,l0,l4,84.0,31.0,57.0,116.0,48.0,53.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj060__l0__to__l4,real,real_world_dataset_2,obj060,l0,l4,12.0,73.0,85.0,35.0,79.0,75.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj061__l0__to__l4,real,real_world_dataset_2,obj061,l0,l4,79.0,50.0,76.0,107.0,62.0,62.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj062__l0__to__l4,real,real_world_dataset_2,obj062,l0,l4,116.0,41.0,74.0,147.0,58.0,61.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj063__l0__to__l4,real,real_world_dataset_2,obj063,l0,l4,39.0,98.0,104.0,72.0,97.0,80.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj064__l0__to__l4,real,real_world_dataset_2,obj064,l0,l4,114.0,85.0,109.0,138.0,90.0,81.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj065__l0__to__l4,real,real_world_dataset_2,obj065,l0,l4,156.0,66.0,102.0,181.0,79.0,75.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj066__l0__to__l4,real,real_world_dataset_2,obj066,l0,l4,74.0,121.0,132.0,103.0,114.0,97.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj067__l0__to__l4,real,real_world_dataset_2,obj067,l0,l4,143.0,119.0,136.0,165.0,121.0,101.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj068__l0__to__l4,real,real_world_dataset_2,obj068,l0,l4,179.0,81.0,110.0,198.0,91.0,80.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj069__l0__to__l4,real,real_world_dataset_2,obj069,l0,l4,97.0,149.0,155.0,125.0,140.0,115.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
real_world_dataset_2__obj070__l0__to__l4,real,real_world_dataset_2,obj070,l0,l4,168.0,148.0,160.0,187.0,146.0,121.0,54.0,53.0,117.0,132.0,52.0,61.0,119.0,133.0,65.0,78.0,58.0,96.0,161.0,58.0,44.0,140.0,127.0,47.0
